iter	MultiClass
0	1.025355748
1	0.9575537545
2	0.9000459399
3	0.8432642256
4	0.7937163217
5	0.7585129874
6	0.7233121599
7	0.6888080052
8	0.659601484
9	0.6293399266
10	0.6027830941
11	0.5797706604
12	0.5613300323
13	0.5431776864
14	0.5209023612
15	0.5061022077
16	0.4865468706
17	0.4724893842
18	0.4588822501
19	0.4448704856
20	0.4290716989
21	0.4159234456
22	0.4031504495
23	0.3939050947
24	0.3843277522
25	0.376707186
26	0.3706512996
27	0.3623002189
28	0.3521141052
29	0.3446490152
30	0.3377151762
31	0.3298994064
32	0.3221370697
33	0.3149599348
34	0.3080637251
35	0.3022870745
36	0.2946974618
37	0.2887426104
38	0.2831778663
39	0.2786240714
40	0.2742670332
41	0.268702943
42	0.2647899083
43	0.260086441
44	0.2546280452
45	0.2510873522
46	0.2467034476
47	0.2439914703
48	0.24058421
49	0.237500218
50	0.2342216492
51	0.2310052054
52	0.2276708467
53	0.2240730558
54	0.2218031475
55	0.2191900526
56	0.2169437953
57	0.2143794877
58	0.2112073081
59	0.2084808486
60	0.205440167
61	0.2031813485
62	0.2013295174
63	0.1989777565
64	0.196642249
65	0.1940925053
66	0.1918322699
67	0.1902123587
68	0.1884239469
69	0.1862715857
70	0.1846227101
71	0.182086495
72	0.1805817195
73	0.1792501177
74	0.1768051556
75	0.1758316994
76	0.1738832474
77	0.1722647258
78	0.1707570757
79	0.1690129144
80	0.1674090249
81	0.1657807895
82	0.1644737244
83	0.1629644394
84	0.1615127155
85	0.159952913
86	0.1589334079
87	0.1567325865
88	0.1546825409
89	0.1535411017
90	0.152744988
91	0.1513889585
92	0.1502603258
93	0.1494205475
94	0.1478330885
95	0.1469041824
96	0.1460125514
97	0.1449905123
98	0.1442180634
99	0.1426531519
100	0.1416839736
101	0.1406863621
102	0.1392049244
103	0.1381928853
104	0.1369717734
105	0.1359222957
106	0.1345442091
107	0.1334969657
108	0.1324283055
109	0.1316405705
110	0.1307060242
111	0.1299698421
112	0.1291747366
113	0.1283075469
114	0.1275443758
115	0.1263595854
116	0.1247120721
117	0.1236552647
118	0.1227930341
119	0.1214883532
120	0.120170784
121	0.1189904622
122	0.1183213098
123	0.1172572272
124	0.1162916456
125	0.1156381062
126	0.1146873747
127	0.1141153472
128	0.1134126459
129	0.112613712
130	0.1119621277
131	0.1111837932
132	0.1105197157
133	0.109794426
134	0.1089941161
135	0.108133207
136	0.1074372155
137	0.1068638052
138	0.1063397135
139	0.1055825233
140	0.1048933915
141	0.1042035648
142	0.1035003117
143	0.102915941
144	0.1022894042
145	0.1015254293
146	0.1008827346
147	0.1002544539
148	0.09960047858
149	0.09915781021
150	0.09858469282
151	0.09768973759
152	0.09684115137
153	0.09625624248
154	0.09565031869
155	0.09495840073
156	0.09446635246
157	0.0937958513
158	0.09319970267
159	0.0926934106
160	0.09226978847
161	0.09142295974
162	0.09089926311
163	0.09046029363
164	0.08978866168
165	0.08939219884
166	0.08896842684
167	0.08823840959
168	0.08775894982
169	0.08733545031
170	0.08677795955
171	0.08638976642
172	0.08597876004
173	0.08555053983
174	0.08489796775
175	0.08449154581
176	0.08404489926
177	0.08368491445
178	0.08316842488
179	0.08265352249
180	0.08220795223
181	0.08158551625
182	0.08124997275
183	0.080718456
184	0.08037293298
185	0.08004961014
186	0.07968039513
187	0.07922295162
188	0.07879268101
189	0.07835957663
190	0.07781077112
191	0.07743520737
192	0.07709014075
193	0.07656914847
194	0.07595366069
195	0.07559490885
196	0.07518429075
197	0.07470959255
198	0.07441812243
199	0.07413730621
200	0.07370867048
201	0.07345274517
202	0.07307278088
203	0.07275648798
204	0.07242508616
205	0.07203486306
206	0.07161588669
207	0.0711970738
208	0.0709166663
209	0.07062767574
210	0.07028311321
211	0.06987872124
212	0.06964347703
213	0.06940830776
214	0.06917645591
215	0.06890374592
216	0.06873086521
217	0.06841904776
218	0.06818599701
219	0.06757135391
220	0.06711149216
221	0.06676538331
222	0.06633336885
223	0.06598933084
224	0.06575057166
225	0.06531200409
226	0.06489012582
227	0.06460251127
228	0.06422561237
229	0.06391463961
230	0.06356068339
231	0.063267013
232	0.06288431713
233	0.06235553196
234	0.06206542424
235	0.06158058984
236	0.061254876
237	0.06102713857
238	0.06079371316
239	0.0604470253
240	0.06010951996
241	0.05979181698
242	0.05950852122
243	0.05935050419
244	0.05906921114
245	0.0589021819
246	0.05859866823
247	0.05825493676
248	0.05792006765
249	0.05757513046
250	0.05733637129
251	0.05712031978
252	0.05689638002
253	0.05671559061
254	0.05631486348
255	0.05605819566
256	0.05575391224
257	0.05549788475
258	0.05536664554
259	0.05510125501
260	0.0549648898
261	0.05478337492
262	0.05452472823
263	0.05433267185
264	0.05420411655
265	0.0540650504
266	0.05388616834
267	0.05367631231
268	0.0534444809
269	0.05324941363
270	0.05297615188
271	0.05279586315
272	0.05253613336
273	0.05232328347
274	0.05210417339
275	0.05197759015
276	0.05182278156
277	0.05160882814
278	0.05134243284
279	0.05103304046
280	0.05090344633
281	0.0507110766
282	0.05051150322
283	0.05030813217
284	0.05007129397
285	0.04987829072
286	0.04963547843
